Genes,Chromosome,Start,End,info,level
MUTYH,1,45794835,45806142,deepskyblue4,0
NRAS,1,115247090,115259515,deepskyblue4,1
NOTCH2,1,120454176,120612240,deepskyblue4,2
ARID1A,1,27022524,27108595,deepskyblue4,1
MYCN,2,16080686,16087129,deepskyblue4,0
ALK,2,29415640,30144432,deepskyblue4,1
IDH1,2,209100951,209130798,deepskyblue4,2
MSH2,2,47630108,47789450,deepskyblue4,1
MSH6,2,47922669,48037240,deepskyblue4,2
VHL,3,10182692,10193904,deepskyblue4,0
MLH1,3,37034823,37107380,deepskyblue4,1
CTNNB1,3,41236328,41301587,deepskyblue4,2
PICK3CA,3,178865902,178957881,deepskyblue4,2
FGFR3,4,1795034,1810599,deepskyblue4,0
KIT,4,55524085,55606881,deepskyblue4,1
APC,5,112043195,112181936,deepskyblue4,0
CTNNA1 ,5,137946656,138270723,deepskyblue4,1
ROS1,6,117609463,117747018,deepskyblue4,0
ARID1B,6,157099063,157531913,deepskyblue4,1
EGFR,7,55086714,55324313,deepskyblue4,0
PMS2,7,6012870,6048756,deepskyblue4,1
MET,7,116312444,116438440,deepskyblue4,2
BRAF,7,140419127,140624564,deepskyblue4,1
FGFR1,8,38268656,38326352,deepskyblue4,0
MYC,8,128747680,128753674,deepskyblue4,1
JAK2,9,4985033,5128183,deepskyblue4,0
CDKN2A,9,21967751,21995300,deepskyblue4,1
ABL1,9,133589333,133763062,deepskyblue4,0
TSC1,9,135766735,135820020,deepskyblue4,1
NOTCH1,9,139388896,139440314,deepskyblue4,2
RET,10,43572475,43625799,deepskyblue4,0
PTEN ,10,89622870,89731687,deepskyblue4,1
FGFR2,10,123237848,123357972,deepskyblue4,2
HRAS,11,532242,537287,deepskyblue4,0
CCND1 ,11,69455855,69469242,deepskyblue4,1
ATM,11,108093211,108239829,deepskyblue4,2
KRAS,12,25357723,25403870,deepskyblue4,0
MDM2,12,69201956,69239214,deepskyblue4,1
BRCA2,13,32889611,32973805,deepskyblue4,0
RB1,13,48877887,49056122,deepskyblue4,1
DICER1,14,95552565,95624347,deepskyblue4,0
MAP2K1,15,66679155,66784650,deepskyblue4,0
NTRK3,15,88418230,88799999,deepskyblue4,1
IDH2,15,90626277,90645736,deepskyblue4,2
TSC2,16,2097466,2138716,deepskyblue4,0
PALB2,16,23614488,23652631,deepskyblue4,1
CDH1 ,16,68771128,68869451,deepskyblue4,2
TP53,17,7565097,7565097,deepskyblue4,1
NF1,17,29421945,29709134,deepskyblue4,0
ERBB2,17,37844167,37844167,deepskyblue4,1
BRCA1 ,17,41196312,41277500,deepskyblue4,2
SMAD4,18,48494410,48611415,deepskyblue4,0
BCL2,18,60790579,60987361,deepskyblue4,1
STK11,19,1189406,1228428,deepskyblue4,0
NOTCH3,19,15270444,15311792,deepskyblue4,1
GNAS,20,57414773,57486247,deepskyblue4,0
RUNX1,21,36160098,37376965,deepskyblue4,0
CHEK2,22,29083731,29138410,deepskyblue4,0
NF2,22,29999545,30094587,deepskyblue4,1
